nro_conabip,nombre,id_departamento,fecha_fundacion,mail
938,Comité Cultural y Biblioteca Juan Francisco Ibarra,06854,1922-10-02,
200,Bib.Pop. Anastasio Prieto,06588,1980-01-01,
1850,Bib.Pop. José Ingenieros,06588,1933-10-12,
88,Bib.Pop. Adolfo Alsina,06007,1912-08-23,
1278,Bib.Pop. José Ingenieros,06007,1925-01-01,ccibiblio@hotmail.com
1062,Bib.Pub. Bernardino Rivadavia,06014,1925-05-10,bipobrchaves@yahoo.com.ar
2170,Bib.Pop. Dr. Victor H. Barrera,06014,1942-11-30,barrerabp@hotmail.com
1554,Bib.Pop. Andrés Vaccarezza,06021,1925-01-01,eleana_1983@hotmail.com
90,Amigos de la Biblioteca Esteban Adrogué,06028,1918-08-01,
4001,Bib. Pop. La Margarita blanca,06028,1999-08-28,
3792,Bib.Pop. Mahatma Gandhi,06028,1980-01-01,bpmgandhi@tutopia.com
2870,Bib.Pop. Pablo Rojas Paz,06028,1969-03-22,bibliorojaspaz@gmail.com
3952,Bib.Pop. Manuel Belgrano del Barrio de Villa París,06028,1998-05-16,bib_manuelbelgrano_glew@yahoo.com.ar
4260,Bib.Pop. Fray Luis Beltrán,06028,2007-11-16,neanvi@yahoo.com.ar
2982,Bib.Pop.Soc.Fom. Martín Fierro,06028,1956-03-11,bibmfierro@yahoo.com.ar
3841,Bib. Pop. Atahualpa Yupanqui,06028,1999-12-10,atahualpa1999@gmail.com
3950,Bib.Pop. Gabriela Mistral,06427,1980-01-01,
2296,Bib.Pop. Bartolomé Mitre,06035,1932-03-01,bibpopularmitre@yahoo.com.ar
2543,Bib.Pop. José Mármol,06035,1940-06-28,bjmarmol@yahoo.com.ar
3063,Bib.Pop. Dr. Estanislao S. Zeballos,06035,2001-09-15,spebpop@gmail.com
3561,Bib.Pop. Alfredo Palacios,06035,1996-05-07,bipopalacios@yahoo.com.ar
3824,Bib.Pub.Mun.Pop. de Avellaneda,06035,1919-12-22,bpmavellaneda@hotmail.com
4136,Bib.Pop. Maestro Alfredo Bravo,06035,1980-01-01,bibliotecabravo@yahoo.com.ar
3908,Bib.Pop. Dock Sud,06035,1998-04-24,bibliotecapopulardocksud@gmail.com
252,Bib.Pop. Juan Bautista Alberdi,06035,1918-10-10,punkyflores69@hotmail.com
4086,Bib.Pop. Enrique del Valle Iberlucea,06035,2002-06-02,
217,Bib.Pop. Veladas de estudio después del trabajo,06035,1921-10-28,
3719,Bib.Pop. Presidente Avellaneda,06035,1987-07-24,bibliotecapopularpteavellaneda@yahoo.com.ar
4192,Soc. Fom. y Cul. y Bib.Pop. Domingo Faustino Sarmiento,06035,1980-01-01,bsfsarmiento1925@yahoo.com.ar
3051,Soc.Fom. U. de Dom. y Bib.Pop. Nicolás Avellaneda,06035,1985-09-13,bnicolasavellaneda@yahoo.com.ar
911,Bib.Pop. Juan M. de Pueyrredón,06035,1922-05-14,
4265,Bib. Pop. Oscar Smith,06035,2008-07-09,bibliotecapopularoscarsmith@yahoo.com
3193,Bib.Pub.Mun. Manuel Vilardaga,06042,,
83,Bib.Pop. Bartolomé J. Ronco,06049,,info@bibliotecaronco.com.ar
111,Bib.Pop. Almafuerte,06049,1918-05-26,
2068,Bib.Pop. Asoc.Cult. de Chillar,06049,1939-01-06,bibliochillar@yahoo.com.ar
100,Bib.Pop. Bernardino Rivadavia,06056,,abrbp@abrbp.org.ar
1663,Bib.Pop. Bartolomé Mitre,06056,1922-04-10,bibliotecabmitre@yahoo.com.ar
