Id_Departamento,Departamento,jardin,otros,primaria,secundaria,Id_Provincia
02000,CABA,112116,2535684,236991,210663,02
06007,Adolfo Alsina,939,13271,1697,1437,06
06014,Adolfo Gonzales Chaves,695,9581,1401,1170,06
06021,Alberti,634,9696,1378,1198,06
06028,Almirante Brown,32199,424870,67913,58227,06
06035,Avellaneda,16724,279835,37082,32476,06
06042,Ayacucho,1255,15910,2442,2150,06
06049,Azul,3944,55923,8219,7066,06
06056,Bahía Blanca,16142,255673,33944,28746,06
06063,Balcarce,2587,36591,5070,4268,06
06070,Baradero,2257,28776,4372,3818,06
06077,Arrecifes,1861,23713,3542,2961,06
06084,Benito Juárez,1156,15737,2277,2015,06
06091,Berazategui,18935,262464,41462,35467,06
06098,Berisso,5531,73653,11779,9722,06
06105,Bolívar,2059,28072,3857,3206,06
06112,Bragado,2393,34824,4807,4203,06
06119,Brandsen,1872,22971,3997,3510,06
06126,Campana,5891,78652,12587,10846,06
06134,Cañuelas,4587,48920,9538,7497,06
06140,Capitán Sarmiento,820,11908,1713,1441,06
06147,Carlos Casares,1251,17053,2491,2110,06
06154,Carlos Tejedor,790,10394,1557,1266,06
06161,Carmen de Areco,1019,12690,1927,1709,06
06168,Castelli,558,7076,1013,904,06
06175,Colón,1444,20550,2851,2561,06
06182,Coronel de Marina Leonardo Rosales,3470,48576,7353,6424,06
06189,Coronel Dorrego,817,11951,1609,1418,06
06196,Coronel Pringles,1385,17768,2791,2166,06
06203,Coronel Suárez,2037,31721,4418,3537,06
06210,Chacabuco,2505,39749,5344,4811,06
06218,Chascomús,2346,30646,4976,4223,06
06224,Chivilcoy,3571,53323,7181,6479,06
06231,Daireaux,1004,13510,1986,1828,06
06238,Dolores,1832,23206,3369,2998,06
06245,Ensenada,3599,45943,7776,6660,06
06252,Escobar,15798,182576,31983,25714,06
06260,Esteban Echeverría,20006,242521,41112,34241,06
06266,Exaltación de la Cruz,2442,28814,4920,3860,06
06270,Ezeiza,12616,139300,25615,21089,06
06274,Florencio Varela,32058,339164,64455,52426,06
06277,Florentino Ameghino,614,7763,1275,1107,06
06280,General Alvarado,2548,33683,4822,4254,06
06287,General Alvear,560,7541,1137,912,06
06294,General Arenales,867,12425,1535,1404,06
06301,General Belgrano,1205,15304,2272,1893,06
06308,General Guido,167,2348,338,304,06
06315,General Juan Madariaga,1154,16400,2637,2375,06
06322,General La Madrid,624,8668,1263,980,06
06329,General Las Heras,1046,13057,2054,1823,06
06336,General Lavalle,304,3413,636,493,06
06343,General Paz,808,10238,1705,1390,06
06351,General Pinto,777,9569,1321,1175,06
06357,General Pueyrredón,29666,510608,62565,57730,06
06364,General Rodríguez,10156,95491,20970,15698,06
06371,General San Martín,20560,339770,44539,39634,06
06385,General Viamonte,1314,16639,2538,2039,06
06392,General Villegas,1966,25655,4006,3428,06
06399,Guaminí,609,8801,1189,1063,06
06406,Hipólito Yrigoyen,568,7938,1110,965,06
06408,Hurlingham,8517,141227,18866,16751,06
06410,Ituzaingó,7849,136438,17692,16004,06
06412,José C. Paz,21226,228971,42316,34014,06
06413,Junín,5416,76387,10433,8728,06
06420,La Costa,5438,73526,11364,10072,06
06427,La Matanza,113641,1316443,225872,181212,06
06434,Lanús,20686,355034,44506,39855,06
06441,La Plata,37646,573104,77998,67326,06
06448,Laprida,661,8317,1366,1152,06
06455,Las Flores,1418,20404,2771,2543,06
06462,Leandro N. Alem,964,12651,1838,1700,06
06466,Lezama,329,4632,639,570,06
06469,Lincoln,2457,33980,4674,4080,06
06476,Lobería,932,13671,1865,1638,06
06483,Lobos,2371,30344,4668,4035,06
06490,Lomas de Zamora,37017,506403,76967,65257,06
06497,Luján,6007,81375,12341,10388,06
06505,Magdalena,1399,16226,2768,2260,06
06511,Maipú,637,8387,1234,995,06
06515,Malvinas Argentinas,18643,255480,40319,34959,06
06518,Mar Chiquita,1832,24475,3622,3044,06
06525,Marcos Paz,4401,44735,8477,7148,06
06532,Mercedes,3947,52420,7882,6753,06
06539,Merlo,34982,415243,71541,59718,06
06547,Monte,1387,17818,3031,2380,06
06553,Monte Hermoso,431,6289,942,782,06
06560,Moreno,36738,402304,76357,60359,06
06568,Morón,13214,260939,28780,26584,06
06574,Navarro,1091,14374,2341,2082,06
06581,Necochea,5024,76567,10545,9347,06
06588,9 de Julio,2914,38623,5830,4999,06
06595,Olavarría,6232,91198,13055,11526,06
06602,Patagones,2056,27846,4262,3335,06
06609,Pehuajó,2438,33045,4827,4284,06
06616,Pellegrini,469,5202,831,610,06
06623,Pergamino,6177,86158,12264,10389,06
06630,Pila,307,3275,592,441,06
06638,Pilar,24609,277533,49944,41528,06
06644,Pinamar,2232,28494,4519,3979,06
06648,Presidente Perón,7281,68507,14476,11730,06
06651,Puan,725,12975,1459,1232,06
06655,Punta Indio,702,9028,1384,1047,06
06658,Quilmes,34636,466172,70881,60085,06
06665,Ramallo,2449,28404,4707,4088,06
06672,Rauch,848,12363,1761,1519,06
06679,Rivadavia,1203,14342,2317,1873,06
06686,Rojas,1316,19217,2724,2362,06
06693,Roque Pérez,809,10204,1572,1316,06
06700,Saavedra,1037,16462,2109,1799,06
06707,Saladillo,1922,26377,3785,3339,06
06714,Salto,2271,28787,4405,3794,06
06721,Salliqueló,461,7074,963,846,06
06728,San Andrés de Giles,1588,19197,3031,2583,06
06735,San Antonio de Areco,1524,19729,2873,2569,06
06742,San Cayetano,416,6890,865,747,06
06749,San Fernando,8388,129350,17900,15461,06
06756,San Isidro,12211,232392,26323,25052,06
06760,San Miguel,17958,242004,37035,30653,06
06763,San Nicolás,8993,124594,17845,15225,06
06770,San Pedro,4118,48839,8283,7113,06
06778,San Vicente,7103,65842,14032,10952,06
06784,Suipacha,700,8451,1328,1257,06
06791,Tandil,7045,110026,14723,12884,06
06798,Tapalqué,628,7883,1125,1059,06
06805,Tigre,23557,325372,51961,45401,06
06812,Tordillo,186,1813,298,231,06
06819,Tornquist,732,11072,1549,1238,06
06826,Trenque Lauquen,2828,36532,5326,4442,06
06833,Tres Arroyos,3100,47005,6392,5392,06
06840,Tres de Febrero,15595,282938,33616,30170,06
06847,Tres Lomas,487,6783,989,831,06
06854,25 de Mayo,1918,26522,3733,3238,06
06861,Vicente López,10698,225921,22610,21312,06
06868,Villa Gesell,1903,27354,4267,3801,06
06875,Villarino,1829,23758,3677,3288,06
06882,Zárate,7142,95542,15431,13300,06
10007,Ambato,267,3980,439,401,10
10014,Ancasti,174,2452,334,322,10
10021,Andalgalá,1091,14366,2037,2051,10
10028,Antofagasta de la Sierra,104,1303,241,174,10
10035,Belén,1829,21661,3513,3350,10
10042,Capayán,1192,13992,2244,2043,10
