Cueanexo,Nombre,Código de departamento,Ámbito,Sector
20000100,INSTITUTO PRIVADO ESCUELA EVANGELICA WILLIAM C. MORRIS,02000,Urbano,Privado
20000102,INSTITUTO PRIVADO ESCUELA EVANGELICA WILLIAM C. MORRIS,02000,Urbano,Privado
20000200,CARLOS R. VIGNALE,02000,Urbano,Estatal
20000300,INSTITUTO SAN CAYETANO,02000,Urbano,Privado
20000301,INSTITUTO SAN CAYETANO,02000,Urbano,Privado
20000500,INSTITUTO NUESTRA SEÑORA DEL ROSARIO,02000,Urbano,Privado
20000700,INSTITUTO NTRA SEÑORA DE LUJAN DE LOS PATRIOTAS,02000,Urbano,Privado
20000800,DR MARTINIANO LEGUIZAMON,02000,Urbano,Estatal
20000900,BENITO QUINQUELA MARTIN,02000,Urbano,Estatal
20001000,JOSE JACINTO BERRUTTI,02000,Urbano,Estatal
20001100,REPUBLICA ITALIANA,02000,Urbano,Estatal
20001200,JUAN MARIA GUTIERREZ,02000,Urbano,Estatal
20001700,ESCUELA DE LA ALDEA,02000,Urbano,Privado
20001800,FRAY JUSTO SANTA MARIA DE ORO,02000,Urbano,Estatal
20002200,REPUBLICA DE FILIPINAS,02000,Urbano,Estatal
20002300,JUAN RAMON JIMENEZ,02000,Urbano,Estatal
20002400,RECUERDOS DE PROVINCIA,02000,Urbano,Estatal
20002500,CARLOS GUIDO Y SPANO,02000,Urbano,Estatal
20002700,JARDIN INFANTES A.B.C.,02000,Urbano,Privado
20002800,INSTITUTO BET-EL,02000,Urbano,Privado
20002900,INSTITUTO SAN PEDRO,02000,Urbano,Privado
20003100,COLEGIO LAS CUMBRES,02000,Urbano,Privado
20003300,INSTITUTO CONSTANZA RAMOS MEJIA DE BUNGE,02000,Urbano,Privado
20003400,INST. COLEGIO SAN TARSICIO,02000,Urbano,Privado
20003700,JIN B HOMERO MANZI DE 19 (N°11),02000,Urbano,Estatal
20003800,MARIA SILVENTI DE AMATO,02000,Urbano,Estatal
20003900,PROFESOR CARLOS JUSTO FLORIT,02000,Urbano,Estatal
20004000,RICARDO GUIRALDES,02000,Urbano,Estatal
20004100,PROVINCIA DE CORRIENTES,02000,Urbano,Estatal
20004200,AERONAUTICA ARGENTINA,02000,Urbano,Estatal
20004300,JUAN ANDRES DE LA PEÑA,02000,Urbano,Estatal
20004400,JII Nº 01 DE 19,02000,Urbano,Estatal
20004600,REPUBLICA DE HONDURAS,02000,Urbano,Estatal
20004700,INSTITUTO BAYARD,02000,Urbano,Privado
20004800,CABILDO DE BUENOS AIRES,02000,Urbano,Estatal
20004900,INSTITUTO PARROQUIAL SANTA LUCIA,02000,Urbano,Privado
20005000,DR. PEDRO MELITON LEDESMA,02000,Urbano,Estatal
20005100,INGENIERO ALVAREZ CONDARCO,02000,Urbano,Estatal
20005300,PRESIDENTE DERQUI,02000,Urbano,Estatal
20005400,INSTITUTO SAN JUAN MARIA VIANNEY,02000,Urbano,Privado
20005500,INSTITUTO INTEGRAL DEL SUD,02000,Urbano,Privado
20005600,FRANCISCO DE GURRUCHAGA,02000,Urbano,Estatal
20005800,COLEGIO SECUNDARIO STO TOMAS DE AQUINO,02000,Urbano,Privado
20005801,COLEGIO SECUNDARIO SANTO TOMAS DE AQUINO,02000,Urbano,Privado
20006300,GENERAL GUEMES,02000,Urbano,Estatal
20006500,INST. HOGAR DEL PINO,02000,Urbano,Privado
20007100,GRAL MARIANO NECOCHEA,02000,Urbano,Estatal
20007200,INSTITUTO NUESTRA SEÑORA DE MONSERRAT,02000,Urbano,Privado
20007202,INSTITUTO NUESTRA SEÑORA DE MONSERRAT,02000,Urbano,Privado
20007300,FRAY CAYETANO RODRIGUEZ,02000,Urbano,Estatal
20007500,JIN D DE 18 (ESC. PRIM. N° 08 DE 18),02000,Urbano,Estatal
20007501,JIN D DE 18 (ESC. PRIM. Nº 07 DE 18),02000,Urbano,Estatal
20007502,JIN D DE 18 (ESC. PRIM. N° 10 DE 18),02000,Urbano,Estatal
20007600,JIC Nº 03 DE 05,02000,Urbano,Estatal
20007700,NIEVES ESCALADA DE OROMI,02000,Urbano,Estatal
20007800,INSTITUTO PIO IX,02000,Urbano,Privado
