Cueanexo,submodalidad
20000100,3
20000102,1
20000102,2
20000200,2
20000300,1
20000301,2
20000500,2
20000500,1
20000500,3
20000700,2
20000700,1
20000700,3
20000800,2
20000900,2
20001000,2
20001100,2
20001200,2
20001700,2
20001700,1
20001800,2
20002200,2
20002300,2
20002400,2
20002500,2
20002700,1
20002800,1
20002800,2
20002900,1
20002900,2
20003100,3
20003100,1
20003100,2
20003300,1
20003300,2
20003400,2
20003400,1
20003700,1
20003800,2
20003900,2
20004000,2
20004100,2
20004200,2
20004300,2
20004400,1
20004600,2
20004700,2
20004700,1
20004800,2
20004900,1
20004900,2
20005000,2
20005100,2
20005300,2
20005400,2
20005400,1
20005500,1
20005600,2
20005800,3
20005801,3
20005801,2
20006300,2
20006500,2
20006500,1
20007100,2
20007200,2
20007202,1
20007300,2
20007500,1
20007501,1
20007502,1
20007600,1
20007700,2
20007800,3
20007900,3
20008200,1
20008200,2
20008300,3
20008300,2
20008300,1
20008400,1
20008500,2
20008600,2
20008900,2
20009000,2
20009100,3
20009100,1
20009100,2
20009500,2
20009500,3
20009500,1
20009700,1
20009800,1
20009801,3
20009801,2
20009900,1
20009900,2
20010000,1
20010000,3
20010000,2
20010200,3
20010201,1
20010201,2
20010300,2
20010400,1
20010400,2
20011000,2
20011100,2
20011200,2
20011300,2
20011400,2
20011400,1
20011500,2
20011500,3
20011500,1
20011600,3
20011600,1
20011600,2
20011700,1
20011800,1
20011800,2
20011800,3
20012000,2
20012100,2
20012300,2
20012300,3
20012301,1
20012301,3
20012500,2
20012600,3
20012600,1
20012600,2
20012700,2
20012700,1
20012700,3
20012800,2
20012900,3
20013000,2
20013500,2
20013600,2
20013800,3
20013800,2
20013800,1
20013900,2
20014000,2
20014100,2
20014200,1
20014200,3
20014200,2
20014300,3
20014400,1
20014500,3
20014600,1
20014600,2
20015000,2
20015000,1
20015000,3
20015200,3
20015300,2
20015400,2
20015500,1
20015700,1
20015701,2
20015800,1
20015801,1
20015900,3
20016000,2
20016100,2
20016300,3
20016500,2
20016600,2
20016700,2
20016800,2
20016800,1
20016900,2
20017000,1
20017400,2
20017400,1
20017400,3
20017700,1
20017701,1
20017702,1
20017800,3
20017800,1
20017800,2
20018100,2
20018400,2
20018500,2
20018600,2
20018700,1
20018701,1
20018702,1
20018800,1
20018900,2
20019000,1
20019000,2
20019000,3
20019200,3
20019300,2
20019400,1
20019400,2
20019600,2
20019800,1
20019800,2
20019800,3
20019900,2
20019900,1
20019900,3
20020100,3
20020101,1
20020101,2
20020200,2
20020300,1
20020300,2
20020300,3
20020600,1
20020600,2
20020700,2
20020800,2
20020900,1
20020901,2
20020902,3
20021200,1
20021300,2
20021400,2
20021500,2
20021600,2
20021700,2
20021700,1
20021700,3
20021800,1
20021800,3
20021800,2
20021900,2
20022000,1
20022001,1
20022002,1
20022100,2
20022300,3
20022300,2
20022300,1
20022400,1
20022400,2
20022500,1
20022500,2
20023000,2
20023100,3
20023100,2
20023100,1
20023400,2
20023400,1
20023500,3
20023600,2
20023700,2
20023900,1
20023901,1
20024800,3
20024800,2
20024800,1
20024900,1
20024902,1
20025000,2
20025100,2
20025300,1
20025300,3
20025300,2
20025400,1
20025400,2
20025500,1
20026400,1
20026400,2
20026400,3
20026800,2
20027400,1
20027500,1
20027600,1
20027600,3
20027600,2
20027800,1
20027804,1
20027900,2
20028100,2
20028500,3
20028600,3
20028700,1
20028700,2
20028700,3
20028900,2
20029000,1
20029001,1
20029002,1
20029300,2
20029300,3
20029300,1
20029400,1
20029401,1
20029500,2
20029500,3
20029500,1
20029600,2
20029700,2
20029800,2
20029900,3
20030200,2
20030300,2
20030300,1
20030400,2
20030500,2
20030700,3
20030700,1
20030700,2
20030900,1
20030902,1
20031100,2
20031700,3
20031900,2
20032400,2
20032500,2
20032800,2
20032900,2
20033000,2
20033100,1
20033101,2
20033300,2
20033400,2
20033400,1
20033500,2
20033500,1
20033600,1
20033601,1
20033602,1
20034100,2
20034200,1
20034400,1
20034401,1
20034402,1
20034900,2
20035000,3
20035100,2
20035200,2
20035300,1
20035400,1
20035400,3
20035400,2
20035500,2
20035500,1
20035800,2
20036200,2
20036300,2
20036400,3
20036800,1
20036800,2
20037000,2
20037900,1
20038000,2
20038100,1
20038200,1
20038300,3
20038600,2
20038700,1
20038700,3
20038700,2
20039800,1
20039801,2
20039900,2
20040000,2
20040100,3
20040200,2
20040200,1
20040200,3
20040300,2
20040300,1
20040300,3
20040400,2
20040700,2
20040700,1
20040700,3
20041000,2
20041100,2
20041100,1
20041100,3
20041200,2
20041200,1
20041300,2
20041400,3
20041500,3
20041500,1
20041500,2
20041700,2
20041800,2
20041900,2
20042000,3
20042000,1
20042000,2
20042100,2
20042200,2
20042200,1
20042200,3
20042500,1
20042500,2
20042600,1
20042700,1
20042800,2
20042800,1
20042800,3
20043300,2
20043700,1
20043700,2
20043800,2
20043900,1
20044000,1
20044000,2
20044100,2
20044200,1
20044400,1
20044600,2
20044600,1
20044700,2
20045500,2
20045500,1
20045600,2
20045600,1
20045700,2
20045700,1
20046000,3
20046100,2
20046200,2
20046300,2
20046400,1
20046400,2
20046700,1
20046702,1
20046703,1
20046900,3
20047000,2
20047200,2
20047300,2
20047400,2
20047600,2
20047700,1
20047800,3
20047900,3
20047900,1
20047900,2
20048100,2
20048300,3
20048400,2
20048500,2
20048600,1
20048600,2
20048600,3
20048700,3
20048900,2
20049000,2
20049100,2
20049200,1
20049300,2
20049300,3
20049300,1
20049400,3
20049500,2
20049600,1
20049600,3
20049600,2
20049700,2
20049900,3
20050000,3
20050200,1
20050200,2
20050200,3
20050300,3
20050300,1
20050300,2
20050400,2
20050600,3
20050800,3
20050800,1
20050800,2
20050900,3
20051100,1
20051100,2
20051101,3
20051200,1
20051200,3
20051200,2
20051300,2
20051301,1
20051302,3
20051400,2
20051600,2
20051800,2
20051900,2
20052000,2
20052100,3
20052100,2
20052100,1
20052300,2
20052400,2
20052500,1
20052500,2
20052700,3
20052700,2
20052800,2
20053000,2
20053200,1
20053200,2
20053300,2
20053400,3
20053400,1
20053400,2
20053500,3
20053500,1
20053500,2
